34179	14	10476
27731	10	10092
22044	14	4044
35122	14	27587
32420	8	41883
18652	10	10092
13948	8	39079
36776	8	42049
26726	16	23653
34006	14	8493
31297	8	39499
38039	2	37289
32988	12	192
2629	2	13970
36628	8	38648
544	14	9873
4770	14	15070
26280	0	30491
20093	8	39779
37958	2	35420
19666	14	1683
26690	12	94
2787	12	148
32817	2	6828
6037	12	183
28370	0	19105
32386	14	6387
34264	14	26889
33490	14	29406
32488	14	20439
5970	12	194
5307	14	9093
31482	8	40477
6806	16	12018
20271	2	9275
13782	8	42254
26731	14	13268
24244	12	119
20818	8	40719
14227	14	5075
29288	2	6828
34027	14	12989
14125	8	43068
37360	14	5460
4820	16	28473
20335	10	30025
13698	16	31443
12535	16	3595
7051	0	20151
9079	0	21180
26415	14	27440
19123	16	24459
2725	12	153
31805	16	3046
22037	8	41686
30795	8	39139
38314	8	39675
1963	12	165
29872	0	14086
18912	12	124
34574	8	38787
36099	8	42154
10790	14	18178
17798	0	27820
10134	0	15076
8	12	197
18163	14	29225
7102	16	5774
10118	16	26804
33258	10	6079
1173	12	143
34817	16	5072
20643	14	6960
23647	14	16618
14674	14	26617
36440	10	29030
35429	14	22413
29314	2	13970
26690	12	188
7110	8	40916
19315	14	16848
32584	14	4916
31896	12	194
23179	16	4022
32489	12	146
13446	0	37980
35189	12	100
6946	8	39283
5939	8	38784
10575	2	7125
35042	14	8659
32317	0	18308
13691	8	39578
35417	2	7125
2538	2	13970
23595	14	23889
23965	8	43203
10533	10	11009
13719	12	196
26118	16	16321
992	16	24128
24654	14	19218
7217	2	13970
2644	2	6828
35438	12	166
7185	8	39930
12471	14	11543
456	16	20379
24862	14	9389
31665	8	40726
30142	10	12196
28544	8	41226
3292	2	9275
26165	0	25648
28891	8	40834
36694	0	23523
23008	14	14087
29914	2	6828
6896	12	150
32017	14	17077
34570	14	28633
5703	14	9780
17564	0	8409
4785	16	18768
8712	8	41706
9250	16	4571
18732	14	36844
34270	8	39957
14649	12	130
12887	12	195
32738	8	41883
5720	2	6828
12506	8	38403
6681	8	38902
12843	14	3976
23119	8	41514
9481	14	14400
24313	8	41237
3458	14	21004
34806	8	41970
31943	8	38941
31686	14	22309
5267	0	35236
6458	8	42237
14859	2	6828
6831	0	29570
542	12	151
28890	12	135
37464	0	15296
26216	14	915
13916	0	36821
24261	14	7034
17925	14	22815
28992	16	8952
32776	14	21327
32146	16	18263
29706	14	37071
2583	14	8525
31012	12	186
35450	8	40013
36022	0	12083
34975	0	37058
19600	12	187
26533	16	27072
33044	8	42386
1801	14	35378
18969	14	24423
30617	8	39878
12719	14	21870
30987	0	12013
32618	16	25772
17176	16	1170
38090	12	192
27892	0	27683
33377	16	21456
31786	10	36257
4395	0	31396
35432	16	22363
23034	0	31369
30251	14	37575
30209	12	123
237	8	41970
5881	0	8974
5573	8	39713
1854	14	2498
13909	0	27772
26832	8	38720
32936	0	1996
35949	16	1659
34806	8	40585
38312	2	13970
5154	0	905
30291	8	39325
